Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
wednesday,over 51,male,Basic Education,owner,Intermediate,Heavy Vehicle,governmental,unknown,no defect,Other,two-way (divided with solid lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,over 51,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Public/Institutional,two-way (divided with solid lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
thursday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
thursday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,above 10yr,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Reversing,na,Not Involved,Negligence,slight injury
saturday,31-50,male,Higher Education,employee,Veteran,Heavy Vehicle,governmental,5-10yrs,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Reversing,na,Not Involved,Priority Violation,slight injury
wednesday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,5-10yrs,no defect,Public/Institutional,other,Straight Road,unknown,asphalt roads,wet or damp,daylight,Rain,Human Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
wednesday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,undivided two way,Straight Road,unknown,asphalt roads,wet or damp,daylight,Rain,Rollover/Fall,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
tuesday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,1-2yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,3,Moving Forward,3,Not Involved,Lane Violation,slight injury
tuesday,31-50,male,Basic Education,employee,New Driver,Special Vehicle,owner,above 10yr,no defect,Commercial/Workplace,undivided two way,Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Rollover/Fall,2,3,Moving Forward,3,Not Involved,Lane Violation,slight injury
tuesday,31-50,male,Basic Education,owner,New Driver,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,undivided two way,Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,3,Reversing,na,Not Involved,Negligence,slight injury
monday,18-30,male,Higher Education,owner,New Driver,Heavy Vehicle,owner,above 10yr,no defect,Other,one way,Steep/Sloped Terrain,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
monday,unknown,female,Basic Education,owner,Experienced,Public Transport,owner,above 10yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
monday,unknown,female,Basic Education,employee,Experienced,Private Vehicle,owner,5-10yrs,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Rollover/Fall,1,1,Other,na,Not Involved,Negligence,severe injury
saturday,over 51,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Higher Education,owner,New Driver,Heavy Vehicle,owner,1-2yr,no defect,Other,other,Straight Road,y shape,other,dry,daylight,Clear,Object Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Basic Education,employee,Veteran,Private Vehicle,owner,5-10yrs,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,5-10yrs,no defect,Other,one way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Vehicle Loss of Control,slight injury
monday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,1-2yr,no defect,Public/Institutional,undivided two way,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,2,Not Involved,Priority Violation,slight injury
monday,unknown,male,Basic Education,employee,Veteran,Private Vehicle,owner,2-5yrs,no defect,Urban/Residential,undivided two way,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Human Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,5-10yrs,no defect,Urban/Residential,one way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,2,Moving Forward,na,Not Involved,Substance Abuse,slight injury
wednesday,31-50,male,Basic Education,owner,Veteran,Heavy Vehicle,owner,5-10yrs,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,2,Moving Forward,na,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,employee,Experienced,Public Transport,owner,1-2yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,other,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
wednesday,18-30,male,Basic Education,employee,New Driver,Public Transport,owner,1-2yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,other,asphalt roads,wet or damp,daylight,Rain,Rollover/Fall,2,1,Moving Forward,3,Not Involved,Speed Violation,slight injury
saturday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,2-5yrs,no defect,Other,other,Straight Road,other,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Substance Abuse,severe injury
saturday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,3,Not Involved,Negligence,severe injury
monday,18-30,male,Higher Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,2,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,slight injury
monday,18-30,male,Higher Education,owner,Veteran,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Curved Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,1,2,Reversing,3,Crossing,Priority Violation,slight injury
saturday,over 51,male,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Speed Violation,severe injury
wednesday,over 51,male,Basic Education,employee,Veteran,Private Vehicle,organization,unknown,no defect,Other,double carriageway (median),Straight Road,y shape,other,wet or damp,daylight,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Substance Abuse,slight injury
wednesday,over 51,male,Higher Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
wednesday,18-30,male,Basic Education,other,Unlicensed/Unknown,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,wet or damp,darkness - lights unlit,Clear,Rollover/Fall,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
wednesday,over 51,male,Basic Education,employee,New Driver,Private Vehicle,governmental,unknown,no defect,Commercial/Workplace,one way,Straight Road,crossing,asphalt roads,wet or damp,darkness - lights unlit,Clear,Rollover/Fall,2,1,Other,3,Not Involved,Lane Violation,slight injury
thursday,18-30,male,Basic Education,owner,Experienced,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Human Collision,1,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,under 18,male,Basic Education,employee,Veteran,Other,owner,2-5yrs,no defect,Urban/Residential,two-way (divided with broken lines road marking),Curved Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Negligence,severe injury
wednesday,under 18,male,Basic Education,employee,New Driver,Special Vehicle,owner,5-10yrs,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Speed Violation,severe injury
monday,31-50,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,5-10yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,unknown,asphalt roads,dry,darkness - lights lit,Clear,Human Collision,1,1,Moving Forward,na,Not Involved,Negligence,slight injury
friday,31-50,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,unknown,asphalt roads,dry,daylight,Clear,Human Collision,1,1,Moving Forward,3,Other,Negligence,slight injury
sunday,under 18,male,Higher Education,employee,New Driver,Heavy Vehicle,owner,2-5yrs,no defect,Other,undivided two way,Straight Road,y shape,other,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
sunday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,2-5yrs,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,2,Not Involved,Negligence,slight injury
wednesday,18-30,male,Basic Education,employee,Veteran,Two Wheeler,owner,2-5yrs,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,3,Vehicle Exit/Loss of Control,3,Not Involved,Negligence,slight injury
wednesday,18-30,male,Basic Education,employee,Veteran,Private Vehicle,owner,5-10yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,1,3,Moving Forward,na,Not Involved,Lane Violation,slight injury
wednesday,18-30,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,3,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Rain,Object Collision,2,1,Vehicle Exit/Loss of Control,3,Not Involved,Priority Violation,slight injury
wednesday,unknown,female,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Other,double carriageway (median),Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Reversing,3,Not Involved,Lane Violation,slight injury
monday,over 51,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,no junction,earth roads,dry,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,slight injury
monday,18-30,male,Higher Education,owner,Intermediate,Public Transport,owner,2-5yrs,no defect,Leisure/Public Space,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,unknown,male,Basic Education,employee,Intermediate,Public Transport,owner,unknown,no defect,Other,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
wednesday,31-50,unknown,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
sunday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,3,2,Moving Forward,na,Not Involved,Negligence,slight injury
sunday,over 51,male,Basic Education,employee,Intermediate,Two Wheeler,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,3,2,Reversing,3,Not Involved,Negligence,slight injury
sunday,31-50,male,Higher Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,one way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,2,Vehicle Exit/Loss of Control,na,Not Involved,Vehicle Loss of Control,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Negligence,slight injury
saturday,over 51,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Substance Abuse,slight injury
thursday,18-30,male,Low Education,employee,Intermediate,Public Transport,governmental,unknown,no defect,Other,double carriageway (median),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,2,Moving Forward,na,Not Involved,Negligence,severe injury
thursday,18-30,male,Basic Education,employee,Intermediate,Special Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with solid lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,2,Reversing,3,Not Involved,Priority Violation,severe injury
tuesday,unknown,female,Higher Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Urban/Residential,other,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Other,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
tuesday,under 18,male,Basic Education,employee,New Driver,Public Transport,governmental,2-5yrs,no defect,Leisure/Public Space,undivided two way,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Other,Vehicle Collision,2,1,Stopped,3,Not Involved,Lane Violation,slight injury
friday,over 51,male,Higher Education,employee,Experienced,Private Vehicle,owner,1-2yr,no defect,Other,other,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,na,Not Involved,Negligence,slight injury
thursday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,other,Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,3,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Other,other,Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,3,Reversing,na,Not Involved,Lane Violation,slight injury
thursday,over 51,male,Basic Education,employee,New Driver,Public Transport,owner,unknown,no defect,Other,other,Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,3,Moving Forward,3,Not Involved,Lane Violation,slight injury
tuesday,31-50,male,Higher Education,employee,Unlicensed/Unknown,Heavy Vehicle,owner,5-10yrs,no defect,Other,one way,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,1,1,Moving Forward,na,Not Involved,Negligence,severe injury
tuesday,over 51,male,Basic Education,owner,Experienced,Heavy Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,earth roads,wet or damp,daylight,Rain,Vehicle Collision,3,1,Reversing,3,Not Involved,Speed Violation,slight injury
tuesday,under 18,male,Basic Education,employee,New Driver,Public Transport,owner,2-5yrs,no defect,Other,other,Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,3,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
tuesday,unknown,male,Basic Education,employee,Intermediate,Public Transport,owner,unknown,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,3,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,3,Moving Forward,na,Not Involved,Negligence,severe injury
saturday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,3,Moving Forward,3,Not Involved,Lane Violation,severe injury
saturday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,5-10yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,3,Moving Forward,3,Not Involved,Lane Violation,severe injury
monday,18-30,male,Basic Education,employee,Intermediate,Other,owner,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,2,2,Moving Forward,na,Not Involved,Negligence,severe injury
monday,18-30,male,Basic Education,employee,Veteran,Private Vehicle,governmental,unknown,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Vehicle Exit/Loss of Control,3,Not Involved,Lane Violation,severe injury
monday,31-50,male,Basic Education,owner,Veteran,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Human Collision,2,2,Moving Forward,3,Other,Negligence,severe injury
tuesday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,severe injury
tuesday,31-50,male,Basic Education,owner,Veteran,Heavy Vehicle,governmental,above 10yr,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,severe injury
monday,18-30,unknown,Basic Education,employee,Experienced,Heavy Vehicle,owner,1-2yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,earth roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,3,Reversing,na,Not Involved,Vehicle Loss of Control,slight injury
monday,18-30,male,Basic Education,owner,Experienced,Private Vehicle,owner,above 10yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,3,Vehicle Exit/Loss of Control,na,Not Involved,Lane Violation,slight injury
monday,31-50,male,Basic Education,owner,Veteran,Private Vehicle,owner,below 1yr,no defect,Other,undivided two way,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,3,Moving Forward,2,Not Involved,Negligence,slight injury
saturday,18-30,male,Higher Education,owner,Veteran,Heavy Vehicle,owner,above 10yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,3,Moving Forward,na,Not Involved,Negligence,severe injury
saturday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,3,Moving Forward,3,Not Involved,Vehicle Loss of Control,severe injury
saturday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,governmental,1-2yr,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Rollover/Fall,3,3,Moving Forward,na,Not Involved,Negligence,severe injury
saturday,over 51,male,Basic Education,owner,Veteran,Heavy Vehicle,owner,1-2yr,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,3,3,Vehicle Exit/Loss of Control,3,Not Involved,Lane Violation,severe injury
saturday,over 51,male,Basic Education,owner,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,3,Moving Forward,3,Not Involved,Speed Violation,severe injury
saturday,unknown,male,Basic Education,owner,Intermediate,Private Vehicle,owner,unknown,no defect,Leisure/Public Space,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,3,3,Moving Forward,3,Not Involved,Lane Violation,severe injury
wednesday,31-50,male,Basic Education,owner,Intermediate,Other,owner,above 10yr,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,y shape,gravel roads,wet or damp,daylight,Rain,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Negligence,slight injury
wednesday,31-50,male,Higher Education,owner,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,owner,Experienced,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Negligence,slight injury
monday,18-30,male,Basic Education,owner,New Driver,Two Wheeler,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Priority Violation,slight injury
monday,31-50,male,Basic Education,owner,Veteran,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,2,Not Involved,Negligence,slight injury
saturday,unknown,female,Basic Education,owner,New Driver,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,1,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,unknown,female,Basic Education,owner,Experienced,Public Transport,owner,above 10yr,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,2,Moving Forward,3,Not Involved,Negligence,slight injury
saturday,31-50,male,Basic Education,owner,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Commercial/Workplace,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Object Collision,3,5,Moving Forward,na,Not Involved,Substance Abuse,slight injury
saturday,31-50,male,Basic Education,owner,Experienced,Private Vehicle,owner,above 10yr,no defect,Urban/Residential,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,3,5,Reversing,na,Not Involved,Lane Violation,slight injury
saturday,31-50,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,3,5,Moving Forward,3,Not Involved,Negligence,slight injury
saturday,31-50,male,Higher Education,owner,Experienced,Public Transport,owner,above 10yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Curved Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,3,5,Vehicle Exit/Loss of Control,na,Not Involved,Lane Violation,slight injury
saturday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,5-10yrs,no defect,Other,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,3,5,Moving Forward,2,Not Involved,Lane Violation,slight injury
saturday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,3,5,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,over 51,male,Basic Education,employee,Experienced,Private Vehicle,owner,above 10yr,no defect,Public/Institutional,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,3,5,Moving Forward,3,Not Involved,Negligence,slight injury
saturday,18-30,male,Basic Education,employee,Veteran,Public Transport,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,unknown,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Reversing,na,Not Involved,Priority Violation,slight injury
saturday,31-50,male,Basic Education,employee,Unlicensed/Unknown,Public Transport,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,2,Moving Forward,3,Not Involved,Negligence,severe injury
saturday,31-50,male,Higher Education,employee,New Driver,Public Transport,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,2,Vehicle Exit/Loss of Control,3,Not Involved,Lane Violation,severe injury
saturday,unknown,female,Basic Education,employee,Experienced,Private Vehicle,owner,above 10yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Curved Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,3,2,Moving Forward,na,Not Involved,Negligence,severe injury
thursday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Public/Institutional,undivided two way,Curved Road,no junction,asphalt roads,dry,daylight,Clear,Rollover/Fall,2,1,Moving Forward,3,Not Involved,Substance Abuse,slight injury
thursday,unknown,female,Basic Education,employee,Experienced,Private Vehicle,owner,above 10yr,no defect,Commercial/Workplace,undivided two way,Curved Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
